[2025-12-27 23:30:23.133] [INFO] [RobustDebugger] Log file initialized
[2025-12-27 23:30:23.182] [INFO] [RobustDebugger] Debugger initialized successfully
[2025-12-27 23:30:23.184] [INFO] [RobustDebugger] Log file: C:\Users\anoni\OneDrive\Escritorio\7\7Days2Die-ESP-Aimbot--Internal-\logs\esp_debug.log
[2025-12-27 23:30:23.185] [INFO] [RobustDebugger] Error log: C:\Users\anoni\OneDrive\Escritorio\7\7Days2Die-ESP-Aimbot--Internal-\logs\esp_errors.log
[2025-12-27 23:30:23.186] [INFO] [RobustDebugger] Performance log: C:\Users\anoni\OneDrive\Escritorio\7\7Days2Die-ESP-Aimbot--Internal-\logs\esp_performance.log
[2025-12-27 23:30:23.187] [INFO] [ESPManager] Starting basic ESP with debugger...
[2025-12-27 23:30:23.213] [INFO] [GameState] Game State: GameManager exists, GameStarted=True
[2025-12-27 23:30:23.644] [INFO] [Diagnostics] Diagnostic report created: C:\Users\anoni\OneDrive\Escritorio\7\7Days2Die-ESP-Aimbot--Internal-\logs\diagnostic_20251227_233023.txt
[2025-12-27 23:30:25.505] [DEBUG] [CameraLogger] Camera Found: Camera active=True, pos=(15.2, 3.8, -0.4), fov=58.0
[2025-12-27 23:30:25.507] [INFO] [ESPManager] Camera found and initialized
[2025-12-27 23:30:26.014] [DEBUG] [EntityCache] Cached 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:42.066] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:42.067] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:42.082] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:42.083] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:42.085] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:42.086] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:42.088] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:42.281] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:42.471] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:42.472] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:42.699] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:42.701] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:42.865] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:42.866] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:42.893] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:42.894] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:42.895] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:42.899] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:42.901] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:42.903] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:42.904] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:42.905] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:42.923] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:42.924] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:42.926] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:42.926] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:42.927] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:42.931] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:42.932] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:42.933] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:42.934] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:42.936] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:42.954] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:42.955] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:42.956] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:42.958] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:42.960] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:42.964] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:42.965] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:42.966] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:42.967] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:42.969] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:42.986] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:42.987] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:42.989] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:42.990] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:42.991] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:42.995] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:42.997] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:42.998] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.000] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.001] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.018] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.020] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.021] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.022] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.023] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.027] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.028] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.030] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.031] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.032] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.049] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.051] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.052] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.054] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.055] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.059] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.061] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.062] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.063] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.064] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.082] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.083] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.084] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.085] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.086] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.090] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.092] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.093] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.094] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.096] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.101] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.102] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.104] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.105] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.106] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.125] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.127] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.128] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.129] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.132] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.136] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.138] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.139] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.140] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.142] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.148] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.149] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.150] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.152] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.153] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.175] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.176] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.178] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.179] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.180] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.184] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.186] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.188] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.189] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.190] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.195] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.197] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.198] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.200] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.201] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.217] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.219] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.220] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.221] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.222] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.226] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.228] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.229] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.230] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.231] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.255] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.256] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.258] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.259] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.260] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.264] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.265] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.267] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.268] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.269] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.292] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.294] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.295] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.297] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.298] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.302] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.303] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.305] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.306] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.307] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.328] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.329] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.331] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.332] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.333] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.336] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.338] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.339] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.340] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.342] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.360] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.361] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.362] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.363] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.365] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.369] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.370] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.371] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.372] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.374] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.395] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.397] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.398] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.399] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.401] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.404] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.406] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.407] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.409] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.410] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.429] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.431] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.432] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.433] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.435] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.439] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.440] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.442] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.443] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.444] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.461] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.462] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
[2025-12-27 23:30:43.463] [ESP] [ESPRenderer] ESP: Enemy at (16.0, 2.0, -24.0) (23.7m) Screen=(1049,776)
[2025-12-27 23:30:43.464] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.1) (18.8m) Screen=(1127,800)
[2025-12-27 23:30:43.467] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.0) (16.7m) Screen=(1134,813)
[2025-12-27 23:30:43.471] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:43.472] [ESP] [ESPRenderer] ESP: Enemy at (16.6, 2.2, -23.6) (23.3m) Screen=(1023,767)
